RA,DEC,Xgal,Ygal,Xeq,Yeq,ABR,NAME
0.107131805556,32.0293655,-105.146308428,-36.3602637217,-0.104953008379,35.114263536,"AND","Andromeda"
345.855249417,32.0285034,-96.8906476319,-30.682835446,13.8462089733,35.1747892124,"AND","Andromeda"
345.8552055,32.7785072,-97.6668542597,-29.9170582672,13.7577176521,35.9758654142,"AND","Andromeda"
345.603277194,32.7746468,-97.5306552547,-29.7981940298,14.0028183159,35.9739975842,"AND","Andromeda"
345.602945306,35.1913109,-99.9504972703,-27.3100357036,13.6981451884,38.5445790698,"AND","Andromeda"
135.460289,-24.5425186,113.911385594,17.7801225046,-130.666591487,-32.2372735544,"ANT","Antlia"
135.451439917,-37.2920151,106.54577989,7.38080657868,-116.153996347,-47.796611954,"ANT","Antlia"
135.448937417,-40.2918739,104.523601951,4.94326492077,-111.899425821,-51.2606634919,"ANT","Antlia"
165.097100306,-40.4246216,82.7287454662,20.7570951546,-129.62171361,-55.6765868817,"ANT","Antlia"
165.098624194,-35.6746559,83.1702385925,25.7706830553,-137.905350811,-49.9227956629,"ANT","Antlia"
150.930567694,-35.6664963,95.8790274846,18.9360618955,-129.013563453,-47.8262963556,"ANT","Antlia"
150.931859,-31.8332005,97.0667285923,22.5896876383,-134.396335336,-43.0977452506,"ANT","Antlia"
150.680091917,-31.8185863,97.3032374233,22.451154899,-134.238944748,-43.0473987723,"ANT","Antlia"
150.680859583,-29.8186131,97.8492583311,24.3434719048,-136.809987173,-40.5246413778,"ANT","Antlia"
150.345421806,-29.7947845,98.1781290701,24.1564938869,-136.596777728,-40.4536413229,"ANT","Antlia"
150.3466225,-27.1281624,98.8361135677,26.659231979,-139.764431776,-37.0370664039,"ANT","Antlia"
135.843952194,-27.0835037,112.287792493,16.0274481764,-128.550165533,-35.4686907641,"ANT","Antlia"
135.845312083,-24.5835705,113.558217812,18.0709028929,-130.946138411,-32.3232304704,"ANT","Antlia"
195.940740583,-83.1200714,59.3212251761,-23.0625204201,21.1785745918,-88.6189903164,"APS","Apus"
270.457733194,-82.4582748,49.913114163,-28.4586740192,15.9134338541,-85.3344096597,"APS","Apus"
270.279670694,-74.9745178,42.6512604736,-25.7312949083,30.253734266,-79.8917712467,"APS","Apus"
270.218671806,-67.4800797,35.4105640294,-22.6436151825,43.1519151676,-73.733385142,"APS","Apus"
255.718381917,-67.571106,39.19458564,-17.3357558629,48.8075770553,-74.8850927538,"APS","Apus"
255.2161655,-67.661087,39.4124328873,-17.2208052439,48.8307045571,-75.0006824785,"APS","Apus"
255.231378583,-70.1597443,41.4539167275,-18.8438908859,44.0446902546,-77.0522610703,"APS","Apus"
210.944429417,-70.5115433,55.7717346,-9.65720852965,55.459463009,-81.3029357456,"APS","Apus"
195.830724694,-70.6244431,61.2277194234,-8.89357129397,57.8410992573,-83.0273503175,"APS","Apus"
195.852095583,-75.6235962,60.735195972,-14.5865128966,43.5265622622,-85.726492078,"APS","Apus"
300.639923083,0.4361772,-44.7182795859,-17.5160121653,65.1963099304,0.501186865809,"AQR","Aquarius"
300.6386585,2.4360874,-46.8063143879,-16.4670399662,65.1538830488,2.79892902781,"AQR","Aquarius"
300.938739806,2.4773185,-46.9653158499,-16.7414482405,64.8303369373,2.84530821249,"AQR","Aquarius"
315.438898083,2.5393796,-51.9085229546,-30.7607641974,49.146972261,2.87444680913,"AQR","Aquarius"
315.572284694,2.5544112,-51.9638580031,-30.878494162,49.0012772209,2.89112797509,"AQR","Aquarius"
315.571916583,3.3043909,-52.8112663476,-30.4524952519,48.9767454742,3.73973678347,"AQR","Aquarius"
315.772014583,3.3256676,-52.8937384335,-30.6290526858,48.7581227682,3.76316609243,"AQR","Aquarius"
315.772472417,2.325691,-51.7618705516,-31.1967771161,48.7895440723,2.63184988242,"AQR","Aquarius"
330.105917,2.3576119,-55.258015531,-44.2463198776,33.0887587485,2.64088828333,"AQR","Aquarius"
330.105817806,2.6076074,-55.5754226134,-44.0908784785,33.0841458538,2.92087349903,"AQR","Aquarius"
330.856147806,2.6622071,-55.7992881808,-44.7071632045,32.2572284924,2.98075759017,"AQR","Aquarius"
330.8566475,0.6622211,-53.2342232659,-45.9379276397,32.2813321366,0.741525623854,"AQR","Aquarius"
330.857646917,-3.3377509,-48.0552648587,-48.2470993574,32.2405484013,-3.73692980323,"AQR","Aquarius"
345.940147417,-3.3042023,-49.5976799607,-60.8095841306,15.5872862122,-3.67644775656,"AQR","Aquarius"
345.940219917,-6.3042021,-44.9690217416,-62.619261959,15.5357360411,-7.01182669845,"AQR","Aquarius"
345.940704306,-24.8042011,-17.4407488128,-69.473903268,14.5035973459,-27.3849211093,"AQR","Aquarius"
345.112064417,-24.8250446,-17.6428790002,-68.7822695561,15.3551129989,-27.4135303796,"AQR","Aquarius"
315.984685917,-24.9040413,-19.9051075413,-42.9524017751,45.0907858229,-27.9324898621,"AQR","Aquarius"
315.9770775,-8.4043999,-39.422031112,-36.9048460887,48.1998246183,-9.50035210632,"AQR","Aquarius"
315.444561,-8.4602947,-39.248760107,-36.4173565521,48.7700548627,-9.56773288224,"AQR","Aquarius"
315.447763417,-14.4601107,-32.2091598147,-38.9888043413,47.9829372086,-16.3209722286,"AQR","Aquarius"
300.649593417,-14.5631361,-28.6586973213,-24.6734259608,63.5695382801,-16.6789876762,"AQR","Aquarius"
300.645643194,-8.5634165,-35.1578655368,-21.9729369289,64.6325504512,-9.82861830858,"AQR","Aquarius"
270.690013917,0.1154895,-29.9712962367,12.1382210546,96.7066288863,0.138673226816,"AQL","Aquila"
270.6884155,2.115346,-31.8599501711,13.1791750591,96.6562144181,2.53977789493,"AQL","Aquila"
270.971761694,2.1659052,-32.0732801501,12.9259644425,96.3626776344,2.59915353527,"AQL","Aquila"
270.968399,6.4156075,-36.0744705559,15.1000436544,95.941984294,7.69361788023,"AQL","Aquila"
270.763904583,6.3791943,-35.9192810343,15.2835511537,96.156417691,7.65280669254,"AQL","Aquila"
270.759203,12.1287737,-41.3012533805,18.1325238385,94.9201170644,14.5207756629,"AQL","Aquila"
270.963750806,12.1651964,-41.4575398234,17.9493930679,94.7037811204,14.5588785558,"AQL","Aquila"
270.958242417,18.6647091,-47.5060819601,21.0157078376,92.376251929,22.251573027,"AQL","Aquila"
285.091699583,18.6882229,-55.5019710617,7.39919293066,78.3389309935,21.7868525803,"AQL","Aquila"
285.0936985,16.3550682,-53.3164407615,6.19763004327,79.1312301924,19.0936476482,"AQL","Aquila"
285.928077694,16.4957294,-53.8866057068,5.46142469999,78.2387237201,19.2332732936,"AQL","Aquila"
285.9284,16.0790844,-53.4942450648,5.24515143689,78.3686804663,18.7518239778,"AQL","Aquila"
300.2372665,16.1275158,-60.4848253695,-8.45108872018,63.6313132169,18.4656060362,"AQL","Aquila"
300.242445,8.8779116,-53.2623504772,-12.5815010266,65.0193359115,10.1934544746,"AQL","Aquila"
300.400930417,8.901824,-53.3531197735,-12.7223290001,64.8476264594,10.21897237,"AQL","Aquila"
300.405273417,2.4021468,-46.6803529997,-16.2544698578,65.4055023172,2.76068610547,"AQL","Aquila"
300.6386585,2.4360874,-46.8063143879,-16.4670399662,65.1538830488,2.79892902781,"AQL","Aquila"
300.639923083,0.4361772,-44.7182795859,-17.5160121653,65.1963099304,0.501186865809,"AQL","Aquila"
300.645643194,-8.5634165,-35.1578655368,-21.9729369289,64.6325504512,-9.82861830858,"AQL","Aquila"
300.112913083,-8.643075,-34.8946851189,-21.4830198319,65.1886601404,-9.92593867373,"AQL","Aquila"
300.115091306,-11.6762342,-31.627872495,-22.8790269968,64.7118654876,-13.3965037926,"AQL","Aquila"
270.982936917,-11.866436,-18.7233863263,5.46000335078,94.7679859221,-14.2028061693,"AQL","Aquila"
270.976486194,-3.8336766,-26.3908732898,9.77809579374,96.2414689313,-4.59961424459,"AQL","Aquila"
270.6932125,-3.884223,-26.1812358248,10.0278839329,96.527461165,-4.66258351698,"AQL","Aquila"
240.602312083,-60.2644577,39.0382596733,-6.39022143303,68.9378352485,-69.8916599269,"ARA","Ara"
240.571374917,-45.7670517,28.5689141696,5.83538737021,93.2571918131,-55.4637011444,"ARA","Ara"
255.987285583,-45.516346,20.3338662464,-2.77431734502,83.0820371453,-53.6704760142,"ARA","Ara"
270.1539345,-45.4859734,14.1672304199,-12.0317047087,72.8481408767,-52.46325636,"ARA","Ara"
270.178150194,-56.9837723,25.2798767805,-17.8223020886,58.8187631216,-64.1047928034,"ARA","Ara"
255.677879306,-57.0747757,30.4188105177,-10.404092858,66.9121068805,-65.420782811,"ARA","Ara"
255.718381917,-67.571106,39.19458564,-17.3357558629,48.8075770553,-74.8850927538,"ARA","Ara"
255.2161655,-67.661087,39.4124328873,-17.2208052439,48.8307045571,-75.0006824785,"ARA","Ara"
255.048332194,-67.6905823,39.4847677017,-17.1824852882,48.8389941638,-75.0388136581,"ARA","Ara"
255.0361595,-65.1916428,37.4343338925,-15.5349472145,53.4613005941,-72.9086010776,"ARA","Ara"
240.952234306,-65.2062531,42.2528328852,-10.6655003285,59.0751535308,-74.1941102183,"ARA","Ara"
240.9463425,-63.7900925,41.3036148695,-9.47712955362,61.9318719943,-72.9853352836,"ARA","Ara"
240.778421417,-63.8189964,41.3876606127,-9.44613176473,61.941595944,-73.0269332224,"ARA","Ara"
240.769189806,-61.2364578,39.6363462918,-7.27027470288,67.0077927356,-70.7533141438,"ARA","Ara"
240.605442,-61.2641945,39.7231582889,-7.23525823693,67.0264858271,-70.7951014411,"ARA","Ara"
30.1110165,10.5143948,-105.451134766,-62.4798164711,-32.9249145511,11.7626906762,"ARI","Aries"
15.7770489167,10.5432396,-87.7872563248,-63.1129624453,-17.2872079766,11.7216062376,"ARI","Aries"
15.7829783056,25.6263351,-109.692423126,-46.6230400855,-16.1949205844,28.2906292133,"ARI","Aries"
30.0342474167,25.6050701,-124.119196813,-45.524457305,-30.7484926474,28.4351913404,"ARI","Aries"
30.0353744167,27.8550186,-126.278796495,-42.8329834754,-30.285787458,30.883840731,"ARI","Aries"
30.5380099167,27.8047638,-126.775105075,-42.7796782413,-30.8000509898,30.837710958,"ARI","Aries"
30.5402129167,31.2213154,-129.69530927,-38.6332186639,-30.0097669101,34.5328619447,"ARI","Aries"
30.841892,31.1865025,-129.973698317,-38.6052793423,-30.3126308269,34.5010024554,"ARI","Aries"
45.4951111944,31.1003609,-145.416910138,-33.2207043644,-44.5488970975,34.7504113815,"ARI","Aries"
45.4860415,19.4343338,-138.219245995,-46.7921551312,-47.9920338843,21.8999679178,"ARI","Aries"
45.4024823056,19.4461136,-138.110395851,-46.82456885,-47.9024679794,21.911542275,"ARI","Aries"
45.3964274167,10.3632069,-129.784939836,-56.7470186361,-49.4705083518,11.7222541086,"ARI","Aries"
60.6324625,30.921875,-161.043182583,-23.5966302276,-59.080560896,35.0550501177,"AUR","Auriga"
60.6382560833,36.254715,-160.653081047,-17.7321732954,-56.2636268706,40.8676934065,"AUR","Auriga"
60.8304895833,36.2218513,-160.813057757,-17.6261879575,-56.4551856875,40.840436299,"AUR","Auriga"
60.856019,52.7196465,-154.68532684,0.166578259202,-44.7542211864,58.0407741612,"AUR","Auriga"
75.1656508056,52.665554,-158.974693132,9.14127494591,-54.7171369521,58.8097234198,"AUR","Auriga"
75.1737843056,56.1648331,-155.87287226,12.0413386971,-50.9229663979,62.2716477945,"AUR","Auriga"
90.2754059167,55.9658089,-155.982958897,22.2410072898,-60.4626829517,63.1516661096,"AUR","Auriga"
90.2704910833,53.9662552,-158.09551032,21.1566240981,-63.0921734063,61.1841508033,"AUR","Auriga"
90.6697354167,53.8938293,-158.114483693,21.4230074054,-63.4370567759,61.1437647743,"AUR","Auriga"
90.6612973056,49.8945885,-162.254804066,19.1695091355,-68.4151987106,57.1097237537,"AUR","Auriga"
90.9604239167,49.8410034,-162.27318861,19.3924065015,-68.6840958573,57.0783889446,"AUR","Auriga"
90.9510201944,44.3418388,-167.747284702,16.0809384624,-74.9008712512,51.335628995,"AUR","Auriga"
105.515608306,44.2435493,-163.601812629,30.3959059853,-85.7373417968,52.4459499427,"AUR","Auriga"
105.504047917,35.2445297,170.73572294,26.5226583276,-95.7276735858,42.4861434435,"AUR","Auriga"
90.6726850833,35.390564,-175.943123043,9.82375658817,-83.2140122462,41.5584335256,"AUR","Auriga"
90.6643771944,27.8913116,177.593843221,4.1921578553,-88.8580502801,33.0645578811,"AUR","Auriga"
90.0147380833,28.0092907,177.958712375,3.51444188534,-88.1841496025,33.1637718606,"AUR","Auriga"
90.0152601944,28.509243,178.270669476,3.90727224573,-87.8510048129,33.73691466,"AUR","Auriga"
60.8808316944,28.7124405,-161.234903901,-25.8233670044,-60.3550461001,32.6270367489,"AUR","Auriga"
60.8823561944,30.2123089,-161.282598191,-24.1785669222,-59.6593157847,34.2834996269,"AUR","Auriga"
60.6317859167,30.2552605,-161.037342843,-24.3294994549,-59.4005072179,34.3214337078,"AUR","Auriga"
225.185432417,7.525393,-4.67311708416,57.4423910432,140.204847085,10.0305197629,"BOO","Bootes"
195.604256583,7.3605771,22.264563983,73.9135215276,166.039714226,10.8245206626,"BOO","Bootes"
195.601928694,14.3604937,14.1793132375,79.7798425761,162.413728379,20.9849084514,"BOO","Bootes"
195.596924806,27.8603134,-3.32151603744,88.163762663,148.981380749,39.7423104033,"BOO","Bootes"
210.0525885,27.8976517,-14.4319653316,77.7421272782,138.583040121,37.9830932342,"BOO","Bootes"
210.051390583,30.1475964,-17.5204554876,77.8722673036,135.869955213,40.8527325201,"BOO","Bootes"
210.125928917,30.1545391,-17.5841328567,77.816709586,135.807391252,40.8524566978,"BOO","Bootes"
210.113248806,47.9039383,-48.8707683743,72.1286685207,107.537079732,61.6308594442,"BOO","Bootes"
210.105626083,54.9035759,-62.4514434752,67.6414120321,93.2226412368,68.6868630086,"BOO","Bootes"
210.483416583,54.9422379,-62.5232814206,67.4751494437,92.9819073391,68.6691132757,"BOO","Bootes"
225.306070306,55.0448647,-64.641213971,60.8589802206,86.1414964626,66.7646505715,"BOO","Bootes"
225.310491583,52.5451736,-60.5891096337,62.0077388666,90.9281601892,64.3088892969,"BOO","Bootes"
225.805631583,52.6174774,-60.8483362864,61.7070988458,90.5392122637,64.3180664437,"BOO","Bootes"
225.808305694,51.1176796,-58.4556160749,62.3266084285,93.3063035528,62.8062231791,"BOO","Bootes"
225.824361806,39.6189079,-41.1481965308,65.4154050088,112.018061191,50.3373219531,"BOO","Bootes"
225.509576806,39.572113,-40.9047964927,65.651480469,112.299054903,50.3215055366,"BOO","Bootes"
225.516465194,32.5726128,-31.5891546112,65.9458355682,121.472713235,42.0775590606,"BOO","Bootes"
225.267727917,32.5376778,-31.3764707336,66.1432494617,121.702047312,42.0621623595,"BOO","Bootes"
225.273301083,25.5380573,-23.066721052,65.1446019335,129.145306876,33.4273430913,"BOO","Bootes"
225.173699417,25.5246105,-22.9771962233,65.224713216,129.239416499,33.4194211084,"BOO","Bootes"
60.3384275,-39.7007294,86.8308010419,-58.5331318581,-53.9354264496,-44.5515125963,"CAE","Caelum"
60.3254924167,-48.6996651,79.8200027745,-55.9157373903,-47.6300946257,-53.950352062,"CAE","Caelum"
60.5574831944,-48.7384491,80.0220469201,-55.7500506068,-47.7759987774,-54.0015400702,"CAE","Caelum"
60.5616064167,-46.2387962,81.8239223398,-56.6051019868,-49.6713309377,-51.4310791441,"CAE","Caelum"
60.8934721944,-46.2959023,82.1279663671,-56.3561489591,-49.8910245446,-51.5064866245,"CAE","Caelum"
60.8988246944,-42.7963676,84.8709146209,-57.3654553008,-52.386056913,-47.8551831176,"CAE","Caelum"
75.0649629167,-42.8255501,98.3739010508,-46.0905441067,-63.9509376926,-48.6466942739,"CAE","Caelum"
75.0836625,-27.0772038,116.183042996,-44.9507928283,-74.7696077042,-31.3650669466,"CAE","Caelum"
60.9172864167,-27.0479794,100.567076537,-59.2248954979,-61.1220580629,-30.7819490685,"CAE","Caelum"
60.7842220833,-27.0248775,100.414589426,-59.3520855561,-61.0021154695,-30.7517080679,"CAE","Caelum"
60.7814945833,-29.7746429,97.2540609131,-59.3529813656,-59.7701932513,-33.7971603533,"CAE","Caelum"
60.6651100833,-29.7546597,97.1206652148,-59.4615383694,-59.668405737,-33.7708098887,"CAE","Caelum"
60.6574916944,-36.7540054,89.900514553,-58.8204423485,-55.9930147001,-41.407243891,"CAE","Caelum"
60.34199,-36.7010231,89.5547016125,-59.0927807925,-55.741569244,-41.3365421001,"CAE","Caelum"
90.2754059167,55.9658089,-155.982958897,22.2410072898,-60.4626829517,63.1516661096,"CAM","Camelopardalis"
75.1737843056,56.1648331,-155.87287226,12.0413386971,-50.9229663979,62.2716477945,"CAM","Camelopardalis"
75.1656508056,52.665554,-158.974693132,9.14127494591,-54.7171369521,58.8097234198,"CAM","Camelopardalis"
60.856019,52.7196465,-154.68532684,0.166578259202,-44.7542211864,58.0407741612,"CAM","Camelopardalis"
45.4875390833,52.9366074,-147.295560534,-6.87258614021,-33.6251808453,57.5767243353,"CAM","Camelopardalis"
45.4921266944,55.4362831,-146.548781476,-3.87143094915,-31.9918402121,60.0517109236,"CAM","Camelopardalis"
45.3236015,55.4596519,-146.459658749,-3.9046683243,-31.8605822957,60.0683420575,"CAM","Camelopardalis"
45.3275664167,57.4593849,-145.728700053,-1.51324917512,-30.4984880354,62.0236189523,"CAM","Camelopardalis"
45.260062,57.4684982,-145.69528271,-1.52571324555,-30.4478822176,62.0299493499,"CAM","Camelopardalis"
45.2930305,68.4662857,-139.53857623,11.3599375801,-21.9865855919,72.3552707812,"CAM","Camelopardalis"
45.6158023056,68.4214401,-139.648624706,11.3883041595,-22.1765857686,72.3255654323,"CAM","Camelopardalis"
45.6872499167,77.4163132,-132.021073601,21.4159643542,-13.8932667507,80.1588721161,"CAM","Camelopardalis"
45.7817473056,77.4025955,-132.044940202,21.4155491415,-13.9345450788,80.1497318142,"CAM","Camelopardalis"
45.835366,80.3986664,-129.027908453,24.6268085068,-10.8847770091,82.6196677271,"CAM","Camelopardalis"
75.3659263056,80.14785,-130.024424261,29.1001411974,-17.6689163766,83.2171566652,"CAM","Camelopardalis"
75.6357411944,85.1239471,-123.951999562,31.9264816574,-9.08136074352,86.8071945236,"CAM","Camelopardalis"
120.530241,84.6103745,-121.296830806,36.7330491311,-14.3504253609,87.5851620789,"CAM","Camelopardalis"
120.693516694,86.0975418,-120.340172454,36.118090881,-10.4712499322,88.3167443025,"CAM","Camelopardalis"
210.2015305,85.930809,-113.024166395,38.9229188823,12.2195028054,88.954648462,"CAM","Camelopardalis"
210.452190417,79.4449844,-104.289115862,45.8369521133,31.0761649521,86.4227489299,"CAM","Camelopardalis"
195.587279306,79.3629303,-106.053178805,46.8796241787,32.5143779612,87.3667682039,"CAM","Camelopardalis"
195.610467917,76.3638153,-102.055252698,50.2459011325,41.3856071518,86.0956996656,"CAM","Camelopardalis"
195.0547075,76.3289108,-102.120910027,50.310526556,41.5378704117,86.1270197859,"CAM","Camelopardalis"
165.628986417,76.3084106,-110.560296301,49.3356105553,-41.6584096051,86.1761699961,"CAM","Camelopardalis"
165.635438917,79.308342,-112.554266512,46.1468940749,-32.7545098021,87.4294186796,"CAM","Camelopardalis"
150.854573194,79.3401794,-116.635433658,44.406252487,-31.5000888033,86.4577739094,"CAM","Camelopardalis"
150.873694417,81.3396072,-116.995129566,42.5743458876,-25.7501719267,87.3358343826,"CAM","Camelopardalis"
135.479413,81.4677658,-120.34421107,40.4241701864,-24.0489476798,86.6035005935,"CAM","Camelopardalis"
135.374364917,72.9741364,-122.588515506,45.8958305977,-46.2550638699,81.6374148398,"CAM","Camelopardalis"
120.205748583,73.1383743,-128.943798384,40.8183038099,-42.3076817104,80.5072791757,"CAM","Camelopardalis"
120.141940083,59.6433983,-138.971611392,43.9400377989,-70.4536977434,69.4022452702,"CAM","Camelopardalis"
105.1835465,59.8037262,-147.389781357,34.0667264672,-62.9379709274,68.0792574409,"CAM","Camelopardalis"
105.1901035,61.8031464,-145.315702848,34.3900075134,-59.5528533375,69.91788764,"CAM","Camelopardalis"
90.2938304167,61.9641266,-149.488974319,25.2602426067,-51.9777303389,68.8432714552,"CAM","Camelopardalis"
135.360283917,6.4700689,124.604213205,41.419210794,-140.978403166,8.64135747627,"CNC","Cancer"
120.194759417,6.6302376,143.763853543,25.099971425,-126.755107365,8.49827154522,"CNC","Cancer"
120.036556194,6.654985,143.94114044,24.934711906,-126.598737088,8.52653246041,"CNC","Cancer"
120.0387115,9.6548138,145.282420858,26.9191365527,-125.81038158,12.3546517393,"CNC","Cancer"
105.922165917,9.6734257,157.652179582,10.0609651384,-112.192396194,11.9789584636,"CNC","Cancer"
105.924773694,13.1732168,159.808499752,12.3817522285,-111.072444441,16.2839662214,"CNC","Cancer"
105.929836306,19.6728077,163.446908996,16.7160191656,-108.080197758,24.2027160383,"CNC","Cancer"
120.004674917,19.66082,149.328108826,33.2471110624,-121.045034879,24.9680994466,"CNC","Cancer"
120.011443083,27.6602821,152.144765586,37.9852003465,-114.953513049,34.7835385606,"CNC","Cancer"
120.127731306,27.6419144,151.990791731,38.10223992,-115.068204136,34.770751263,"CNC","Cancer"
120.132882083,33.1415138,153.834694481,41.1180395615,-109.692225928,41.3226323197,"CNC","Cancer"
135.376399,32.9691162,131.302334979,56.3609580056,-121.668353153,42.6529314294,"CNC","Cancer"
180.106300417,33.3039627,39.3010178242,87.7797307678,150.380141643,49.3981106424,"CVN","Canes Venatici"
180.106094417,44.3039627,-57.0894932823,81.1078527265,128.773287723,62.8410153399,"CVN","Canes Venatici"
180.188428917,44.3043365,-56.9721755267,81.1150504257,128.739277093,62.8252962396,"CVN","Canes Venatici"
180.1879015,52.3043365,-71.2880162007,74.7065181662,110.008803204,71.1786085631,"CVN","Canes Venatici"
195.582826583,52.3598061,-60.127717376,73.7524643363,104.664823701,68.4887736008,"CVN","Canes Venatici"
195.586340917,47.8599281,-50.3939433807,77.3062102923,114.557044362,63.8924490167,"CVN","Canes Venatici"
210.113248806,47.9039383,-48.8707683743,72.1286685207,107.537079732,61.6308594442,"CVN","Canes Venatici"
210.125928917,30.1545391,-17.5841328567,77.816709586,135.807391252,40.8524566978,"CVN","Canes Venatici"
210.051390583,30.1475964,-17.5204554876,77.8722673036,135.869955213,40.8527325201,"CVN","Canes Venatici"
210.0525885,27.8976517,-14.4319653316,77.7421272782,138.583040121,37.9830932342,"CVN","Canes Venatici"
195.596924806,27.8603134,-3.32151603744,88.163762663,148.981380749,39.7423104033,"CVN","Canes Venatici"
195.348438306,27.8437748,-3.10839947361,88.3293519609,149.173372896,39.7540155012,"CVN","Canes Venatici"
195.347183194,31.3437366,-10.787493104,87.3164435742,144.345868323,44.3545278676,"CVN","Canes Venatici"
180.437179583,31.3074341,35.8384576747,87.4790341482,153.539301539,46.6906632663,"CVN","Canes Venatici"
180.436950694,33.3074303,-38.5662524723,87.9078117259,150.192292062,49.343248568,"CVN","Canes Venatici"
90.214375,-11.0301533,143.314729172,-21.924447949,-96.1999474456,-13.2348744635,"CMA","Canis Major"
105.464893306,-11.2521448,142.076880616,-3.78327840516,-111.28224493,-13.910081446,"CMA","Canis Major"
105.445146583,-33.2504692,120.896353938,-15.8102207371,-97.5875396439,-40.2044483237,"CMA","Canis Major"
90.6602573056,-33.1128159,118.621542042,-30.3721843481,-85.0627073579,-39.0053405813,"CMA","Canis Major"
90.1932711944,-33.0282326,118.539766206,-30.81405365,-84.7210895521,-38.8804288081,"CMA","Canis Major"
90.1995044167,-27.2787991,125.13601848,-28.9461867929,-88.8313991858,-32.3346793192,"CMA","Canis Major"
120.189933806,-0.36939,140.340720855,20.3764642701,-127.45966825,-0.473986390899,"CMI","Canis Minor"
105.306644417,-0.224329,151.107674505,2.86500022278,-112.892988296,-0.278000792914,"CMI","Canis Minor"
105.307794583,1.2755718,152.229092877,3.82668389842,-112.872139606,1.58070754408,"CMI","Canis Minor"
105.124493083,1.3074419,152.345046647,3.62208042586,-112.688521717,1.61955818178,"CMI","Canis Minor"
105.127618306,5.307168,155.223560001,6.21438660058,-112.323294529,6.57033085833,"CMI","Canis Minor"
105.110954806,5.3100886,155.234974072,6.19571759831,-112.30633589,6.57370671962,"CMI","Canis Minor"
105.114525306,9.8097754,158.258627643,9.15464711745,-111.362799006,12.1260705992,"CMI","Canis Minor"
